Date,"National retail sales, CNY, Monthly","National retail sales, retail trade, CNY, Monthly","National retail sales, catering, CNY, Monthly"
2000-01-01,"3,372.7",,
2000-02-01,"3,811.7",,
2000-03-01,"3,217.1",,
2000-04-01,"3,248.1",,
2000-05-01,"3,328.1",,
2000-06-01,"3,350.5",,
2000-07-01,"3,315.3",,
2000-08-01,"3,362.2",,
2000-09-01,"3,317.8",,
2000-10-01,"3,575.7",,
2000-11-01,"3,651.9",,
2000-12-01,"3,630.4",,
2001-01-01,"3,794.3",,
2001-02-01,"4,139.5",,
2001-03-01,"3,522.7",,
2001-04-01,"3,563.2",,
2001-05-01,"3,697.5",,
2001-06-01,"3,685.5",,
2001-07-01,"3,640.2",,
2001-08-01,"3,684.9",,
2001-09-01,"3,646.3",,
2001-10-01,"3,951.2",,
2001-11-01,"4,020.7",,
2001-12-01,"3,979.0",,
2002-01-01,"4,094.0",,
2002-02-01,"4,516.2",,
2002-03-01,"3,815.1",,
2002-04-01,"3,855.4",,
2002-05-01,"4,041.4",,
2002-06-01,"4,002.5",,
2002-07-01,"3,953.3",,
2002-08-01,"4,009.2",,
2002-09-01,"3,978.1",,
2002-10-01,"4,322.6",,
2002-11-01,"4,386.6",,
2002-12-01,"4,345.0",,
2003-01-01,"4,503.4",,
2003-02-01,"4,900.1",,
2003-03-01,"4,169.9",,
2003-04-01,"4,152.2",,
2003-05-01,"4,215.1",,
2003-06-01,"4,334.7",,
2003-07-01,"4,340.7",,
2003-08-01,"4,406.1",,
2003-09-01,"4,356.0",,
2003-10-01,"4,763.5",,
2003-11-01,"4,812.1",,
2003-12-01,"4,818.6",,
2004-01-01,"5,034.8",,
2004-02-01,"5,350.9",,
2004-03-01,"4,632.8",,
2004-04-01,"4,700.3",,
2004-05-01,"4,965.4",,
2004-06-01,"4,937.2",,
2004-07-01,"4,913.6",,
2004-08-01,"4,983.3",,
2004-09-01,"4,965.8",,
2004-10-01,"5,439.9",,
2004-11-01,"5,481.0",,
2004-12-01,"5,517.3",,
2005-01-01,"5,613.8",,
2005-02-01,"6,196.3",,
2005-03-01,"5,276.7",,
2005-04-01,"5,273.7",,
2005-05-01,"5,601.0",,
2005-06-01,"5,574.1",,
2005-07-01,"5,537.7",,
2005-08-01,"5,606.2",,
2005-09-01,"5,596.5",,
2005-10-01,"6,136.2",,
2005-11-01,"6,160.7",,
2005-12-01,"6,207.0",,
2006-01-01,"6,484.0",,
2006-02-01,"6,778.8",,
2006-03-01,"5,989.1",,
2006-04-01,"5,988.6",,
2006-05-01,"6,396.4",,
2006-06-01,"6,348.9",,
2006-07-01,"6,296.3",,
2006-08-01,"6,379.9",,
2006-09-01,"6,374.4",,
2006-10-01,"7,016.7",,
2006-11-01,"7,029.3",,
2006-12-01,"7,113.2",,
2007-01-01,"7,310.6",,
2007-02-01,"7,921.5",,
2007-03-01,"6,907.7",,
2007-04-01,"6,916.8",,
2007-05-01,"7,413.4",,
2007-06-01,"7,363.6",,
2007-07-01,"7,328.9",,
2007-08-01,"7,470.9",,
2007-09-01,"7,458.7",,
2007-10-01,"8,286.7",,
2007-11-01,"8,350.8",,
2007-12-01,"8,550.1",,
2008-01-01,"8,860.4",,
2008-02-01,"9,434.6",,
2008-03-01,"8,392.8",,
2008-04-01,"8,438.5",,
2008-05-01,"9,014.7",,
2008-06-01,"9,057.3",,
2008-07-01,"9,036.6",,
2008-08-01,"9,204.1",,
2008-09-01,"9,189.1",,
2008-10-01,"10,109.8",,
2008-11-01,"10,087.8",,
2008-12-01,"10,174.6",,
2009-01-01,"10,499.6",,
2009-02-01,"10,529.0",,
2009-03-01,"9,626.6",,
2009-04-01,"9,687.4",,
2009-05-01,"10,384.9",,
2009-06-01,"10,415.8",,
2009-07-01,"10,410.2",,
2009-08-01,"10,621.6",,
2009-09-01,"10,615.5",,
2009-10-01,"11,749.0",,
2009-11-01,"11,682.9",,
2009-12-01,"11,959.0",,
2010-01-01,"11,969.5",,
2010-02-01,"12,855.9",,
2010-03-01,"11,359.3",,
2010-04-01,"11,479.6",,
2010-05-01,"12,322.5",,
2010-06-01,"12,322.0",,
2010-07-01,"12,278.6",,
2010-08-01,"12,575.9",,
2010-09-01,"12,615.4",,
2010-10-01,"13,939.1","12,250.8","1,671.2"
2010-11-01,"13,867.7","11,971.6","1,927.5"
2010-12-01,"14,243.1","12,381.0","1,876.2"
2011-01-01,"14,351.5","12,680.6","1,656.7"
2011-02-01,"14,351.5","12,680.6","1,656.7"
2011-03-01,"13,340.1","11,833.6","1,517.3"
2011-04-01,"13,445.1","11,956.1","1,506.9"
2011-05-01,"14,404.9","12,771.1","1,649.2"
2011-06-01,"14,501.3","12,805.5","1,690.1"
2011-07-01,"14,390.5","12,732.6","1,658.1"
2011-08-01,"14,713.8","12,940.3","1,751.5"
2011-09-01,"14,848.4","13,101.4","1,733.3"
2011-10-01,"16,343.5","14,366.5","1,956.8"
2011-11-01,"16,266.8","14,030.7","2,268.6"
2011-12-01,"16,821.1","14,621.9","2,225.1"
2012-01-01,"16,461.1","14,570.1","1,877.1"
2012-02-01,"16,461.1","14,570.1","1,877.1"
2012-03-01,"15,367.8","13,655.9","1,720.6"
2012-04-01,"15,338.0","13,655.5","1,702.5"
2012-05-01,"16,391.9","14,546.8","1,862.2"
2012-06-01,"16,488.0","14,572.6","1,913.1"
2012-07-01,"16,275.6","14,413.3","1,868.7"
2012-08-01,"16,656.1","14,661.3","1,980.9"
2012-09-01,"16,956.8","14,974.9","1,974.2"
2012-10-01,"18,713.3","16,464.1","2,230.8"
2012-11-01,"18,690.5","16,135.3","2,590.8"
2012-12-01,"19,377.9","16,844.4","2,561.1"
2013-01-01,"18,485.8","16,432.7","2,034.8"
2013-02-01,"18,485.8","16,432.7","2,034.8"
2013-03-01,"17,304.2","15,441.7","1,870.6"
2013-04-01,"17,301.3","15,485.4","1,836.3"
2013-05-01,"18,505.2","16,488.6","2,034.0"
2013-06-01,"18,682.9","16,582.7","2,095.7"
2013-07-01,"18,426.0","16,393.3","2,037.9"
2013-08-01,"18,883.0","16,691.6","2,173.8"
2013-09-01,"19,212.1","17,050.5","2,153.0"
2013-10-01,"21,206.0","18,739.6","2,443.2"
2013-11-01,"21,255.1","18,438.9","2,834.8"
2013-12-01,"22,013.3","19,253.2","2,781.4"
2014-01-01,"20,671.7","18,420.4","2,229.1"
2014-02-01,"20,671.7","18,420.4","2,229.1"
2014-03-01,"19,422.3","17,369.0","2,061.4"
2014-04-01,"19,366.4","17,355.8","2,032.9"
2014-05-01,"20,821.0","18,581.5","2,258.2"
2014-06-01,"21,004.8","18,697.6","2,300.6"
2014-07-01,"20,678.0","18,453.2","2,229.0"
2014-08-01,"21,130.3","18,752.0","2,356.7"
2014-09-01,"21,434.5","19,083.4","2,339.8"
2014-10-01,"23,649.1","20,941.2","2,680.9"
2014-11-01,"23,746.3","20,643.6","3,113.1"
2014-12-01,"24,630.5","21,584.9","3,060.9"
2015-01-01,"22,886.5","20,382.8","2,479.4"
2015-02-01,"22,886.5","20,382.8","2,479.4"
2015-03-01,"21,412.1","19,123.8","2,297.7"
2015-04-01,"21,303.6","19,058.4","2,270.6"
2015-05-01,"22,930.2","20,428.6","2,523.2"
2015-06-01,"23,238.1","20,663.6","2,567.7"
2015-07-01,"22,851.8","20,356.6","2,500.8"
2015-08-01,"23,410.8","20,739.2","2,648.5"
2015-09-01,"23,770.8","21,125.3","2,622.9"
2015-10-01,"26,256.0","23,212.6","3,014.6"
2015-11-01,"26,399.3","22,940.9","3,472.2"
2015-12-01,"27,364.5","23,959.2","3,403.8"
2016-01-01,"25,220.9","22,441.4","2,759.6"
2016-02-01,"25,220.9","22,441.4","2,759.6"
2016-03-01,"23,660.3","21,112.7","2,559.6"
2016-04-01,"23,455.2","20,945.2","2,534.0"
2016-05-01,"25,223.2","22,451.1","2,798.2"
2016-06-01,"25,701.3","22,853.9","2,852.8"
2016-07-01,"25,182.6","22,412.6","2,773.4"
2016-08-01,"25,892.3","22,958.3","2,921.3"
2016-09-01,"26,314.3","23,385.7","2,900.9"
2016-10-01,"28,881.6","25,557.0","3,316.0"
2016-11-01,"29,250.5","25,441.5","3,822.9"
2016-12-01,"30,347.3","26,570.7","3,764.6"
2017-01-01,"27,616.9","24,550.9","3,052.1"
2017-02-01,"27,616.9","24,550.9","3,052.1"
2017-03-01,"26,239.3","23,414.0","2,843.8"
2017-04-01,"25,964.9","23,165.3","2,815.3"
2017-05-01,"27,922.1","24,830.9","3,122.8"
2017-06-01,"28,528.4","25,345.0","3,192.2"
2017-07-01,"27,801.6","24,721.1","3,081.2"
2017-08-01,"28,507.4","25,277.1","3,233.9"
2017-09-01,"29,024.7","25,817.8","3,196.8"
2017-10-01,"31,769.8","28,112.8","3,657.6"
2017-11-01,"32,234.0","28,036.5","4,205.1"
2017-12-01,"33,199.9","29,041.8","4,144.8"
2018-01-01,"30,295.7","26,932.3","3,360.4"
2018-02-01,"30,295.7","26,932.3","3,360.4"
2018-03-01,"28,889.5","25,755.4","3,145.2"
2018-04-01,"28,405.6","25,342.9","3,085.5"
2018-05-01,"30,295.4","26,916.7","3,397.6"
2018-06-01,"31,096.0","27,600.7","3,514.6"
2018-07-01,"30,248.2","26,871.9","3,370.9"
2018-08-01,"31,073.1","27,526.7","3,547.6"
2018-09-01,"31,695.0","28,193.1","3,497.3"
2018-10-01,"34,502.0","30,502.3","3,979.4"
2018-11-01,"34,845.0","30,279.4","4,566.8"
2018-12-01,"35,909.3","31,377.0","4,518.8"
2019-01-01,"32,780.0","29,086.9","3,686.3"
2019-02-01,"32,780.0","29,086.9","3,686.3"
2019-03-01,"31,402.9","27,970.4","3,444.0"
2019-04-01,"30,450.8","27,116.9","3,347.8"
2019-05-01,"32,900.9","29,204.6","3,717.0"
2019-06-01,"34,143.4","30,333.1","3,848.5"
2019-07-01,"32,547.1","28,860.4","3,687.7"
2019-08-01,"33,403.6","29,508.7","3,891.7"
2019-09-01,"34,167.2","30,335.7","3,826.1"
2019-10-01,"36,986.1","32,637.5","4,337.6"
2019-11-01,"37,632.6","32,641.2","5,009.8"
2019-12-01,"38,782.0","33,855.8","4,930.0"
2020-01-01,"26,060.1","23,967.6","2,097.5"
2020-02-01,"26,060.1","23,967.6","2,097.5"
2020-03-01,"26,441.2","24,613.9","1,832.2"
2020-04-01,"28,167.0","25,869.5","2,306.6"
2020-05-01,"31,979.6","28,971.0","3,014.5"
2020-06-01,"33,528.8","30,272.5","3,263.6"
2020-07-01,"32,189.0","28,918.1","3,282.1"
2020-08-01,"33,570.6","29,951.3","3,619.3"
2020-09-01,"35,294.7","31,579.5","3,715.1"
2020-10-01,"38,576.5","34,204.1","4,372.3"
2020-11-01,"39,514.2","34,534.4","4,979.7"
2020-12-01,"40,566.0","35,616.3","4,949.7"
2021-01-01,"34,868.4","31,325.7","3,542.7"
2021-02-01,"34,868.4","31,325.7","3,542.7"
2021-03-01,"35,484.1","31,973.5","3,510.5"
2021-04-01,"33,152.6","29,775.8","3,376.9"
2021-05-01,"35,945.1","32,128.8","3,816.3"
2021-06-01,"37,585.8","33,663.0","3,922.8"
2021-07-01,"34,925.1","31,173.7","3,751.4"
